category,name,description,photo,price
Hair,Hair Claw Clip XXL,Extra extra large claw clip for thick or long hair,01010101-HAIR CLAW CLIP XXL.jpg,
Hair,Hair Claw Clip Mini,Mini claw clip for small sections or fine hair,01010102-HAIR CLAW CLIP MINI.jpg,
Hair,Hair Claw Clip M,Medium sized claw clip for everyday use,01010105-HAIR CLAW CLIP M.jpg,
Hair,Hair Claw Clip L,Large claw clip suitable for medium to thick hair,01010106-HAIR CLAW CLIP L.jpg,
Hair,Hair Claw Clip XL,Extra large claw clip for voluminous or thick hair,01010107-HAIR CLAW CLIP XL.jpg,
Hair,Elastic Ponytail Basic Medium,Basic medium elastic ponytail holder,01030102-ELASTIC PONYTAI BASIC MEDIUM.jpg,
Hair,Elastic Hair Tie Basic Large Nylon,"Large nylon elastic hair tie, gentle on hair",01030103-ELASTIC HAIR TIE  BASIC LARGE NYLON.jpg,
Hair,Scrunchie Basic,"Soft basic scrunchie, pack of 10",01030103-SCRUNCHIE BASIC 10-05.jpg,
Hair,Elastic Hair Tie Basic Mini Ring Nylon,Mini ring nylon elastic hair ties,"01030105-ELASTIC HAIR TIE BASIC MINI RING, NYLON.jpg",
Hair,Head Band Basic 6MM (2 pcs),"Basic 6mm headband, pack of 2",01040101-HEAD BAND BASIC 6MM 2 PCS.jpg,
Hair,Head Band Basic 25MM Plastic,Wide 25mm plastic headband,"01040102-HEAD BAND BASIC 25MM, PLASTIC.jpg",
Hair,Head Band Basic Z Plastic,Z-shaped plastic headband,"01040103-HEAD BAND BASIC Z, PLASTIC.jpg",
Hair,Head Band Full Comb 15MM Metal,Metal headband with full comb grip 15mm,"01040201-HEAD BAND FULL COMB 15MM, METAL.jpg",
Hair,Head Band Wave 5MM Metal,Wavy 5mm metal headband,"01040203-HEAD BAND BASIC WAVE 5MM, METAL.jpg",
Hair,Head Band Spring Metal,Spring-style metal headband,"01040204-HEAD BAND SPRING, METAL.jpg",
Hair,Head Band Wave Comb Metal,Wave comb metal headband,"01040205-HEAD BAND WAVE COMB, METAL.jpg",
Hair,Head Band Telephone Wire Metal,Telephone wire style metal headband,"01040206-HEAD BAND TELEPHONE WIRE, METAL.jpg",
Hair,Rubber Band Medium 10GM,"Medium rubber bands for hair, 10g pack",01060102-RUBBER BAND MEDIUM 10GM.jpg,
Hair,Rubber Band Basic Medium Nylon,Basic medium nylon rubber bands,"01060201-RUBBER BAND BASIC MEDIUM, NYLON.jpg",
Hair,Spiral Hair Tie Basic Small,Small spiral hair tie coil,01060301-SPRIRAL HAIR TIE BASIC SMALL.jpg,
Hair,Hair Tie Telephone Wire,Telephone wire coil style hair tie,01060302-HAIR TIE  TELEPHONE WIRE.jpg,
Hair,Banana Clip Basic,Classic banana clip for half-up styles,"01070102-BANANA CLIP BASIC, PC.jpg",
